ZipCode,SalePrice,Acreage,LandValue,BuildingValue,TotalValue,FinishedArea,YearBuilt,Bedrooms,FullBath,HalfBath,Parks Per Zip,Acres of Parks Per Zip,ADA Park in Zip,Sports Fields in Zip,Walk Path in Zip
37013,115000,0.23,27500,93000,120500,1436,1989,3,2,0,5,327.44,True,True,True
37013,160000,0.22,22500,126200,148700,2224,1999,3,3,0,5,327.44,True,True,True
37013,130000,0.24,22500,99600,122100,1710,2001,3,2,1,5,327.44,True,True,True
37013,129900,0.18,24000,91100,116500,1656,1978,3,1,1,5,327.44,True,True,True
37013,80000,0.26,25000,87000,112000,1303,1988,3,2,0,5,327.44,True,True,True
37013,70000,0.26,25000,87000,112000,1303,1988,3,2,0,5,327.44,True,True,True
37013,193890,16.17,45824,50100,111424,1796,1925,4,1,0,5,327.44,True,True,True
37013,110000,0.22,24000,70800,94800,1326,1971,3,1,0,5,327.44,True,True,True
37013,115000,0.34,24000,94000,118000,1773.68002,1974,3,2,0,5,327.44,True,True,True
37013,148800,0.33,24000,112300,136300,1800,1974,3,2,0,5,327.44,True,True,True
37013,126300,0.36,25000,107200,132200,1958,1977,3,2,0,5,327.44,True,True,True
37013,80000,0.33,17500,80100,97600,1578,1963,3,1,0,5,327.44,True,True,True
37013,160000,0.4,25000,110600,135600,2107,1979,3,2,0,5,327.44,True,True,True
37013,55059,0.12,11900,44700,56600,1006,1984,2,1,1,5,327.44,True,True,True
37013,115750,0.2,27500,75900,103400,1416,1980,3,2,0,5,327.44,True,True,True
37013,177000,3.97,77600,137100,214700,3312,1980,3,3,0,5,327.44,True,True,True
37013,146000,0.18,27500,111500,139000,1874,1996,3,3,0,5,327.44,True,True,True
37013,105000,0.28,22000,76800,98800,1271,1992,3,2,0,5,327.44,True,True,True
37013,43000,0.09,13000,31600,44600,832,1983,2,1,0,5,327.44,True,True,True
37013,43000,0.12,13000,32500,45500,835,1983,2,1,0,5,327.44,True,True,True
37013,67000,0.32,17000,84400,101400,1310,1972,3,2,0,5,327.44,True,True,True
37013,123500,0.25,24000,95700,122700,2706,1966,3,2,0,5,327.44,True,True,True
37013,74500,0.23,24000,86100,112600,1232,1987,3,2,0,5,327.44,True,True,True
37013,117500,0.27,24000,105200,129200,1725,1974,3,2,0,5,327.44,True,True,True
37013,65000,0.17,14000,57400,71400,1092,1984,3,2,0,5,327.44,True,True,True
37013,120000,0.39,18000,80300,98300,1350,1964,3,1,0,5,327.44,True,True,True
37013,21000,0.25,15000,108500,123500,1508,2014,3,2,1,5,327.44,True,True,True
37013,108500,0.25,18000,72900,94000,1302,1968,3,1,0,5,327.44,True,True,True
37013,130000,0.41,25000,93300,118300,1730,1979,3,2,0,5,327.44,True,True,True
37013,145000,0.23,25000,116000,141000,1735,1997,3,3,0,5,327.44,True,True,True
37013,205000,0.4,33000,160600,193600,2943,1985,4,3,0,5,327.44,True,True,True
37013,95000,0.24,20400,59000,79400,1539,1982,4,2,0,5,327.44,True,True,True
37013,63000,0.13,13000,53200,66200,933,1987,2,1,0,5,327.44,True,True,True
37013,59000,0.09,13000,50100,63100,1116,1985,2,1,1,5,327.44,True,True,True
37013,133600,0.31,27500,98900,126400,1744,1985,3,3,0,5,327.44,True,True,True
37013,112000,0.18,27500,80800,108300,1154,1995,3,2,0,5,327.44,True,True,True
37013,119000,0.25,22500,87500,110000,1258,2001,3,2,0,5,327.44,True,True,True
37013,110000,0.35,20500,84500,105000,1314,2000,3,2,0,5,327.44,True,True,True
37013,106000,0.19,27500,112900,140400,1968.90247,1997,3,2,0,5,327.44,True,True,True
37013,150000,0.25,25000,140600,165600,2330,1997,3,2,0,5,327.44,True,True,True
37013,108900,0.19,17000,94500,111500,2200,1976,3,2,1,5,327.44,True,True,True
37013,106000,0.19,17000,72400,89400,1650,1976,3,1,0,5,327.44,True,True,True
37013,108000,0.45,17000,71100,88100,1325,1972,3,1,0,5,327.44,True,True,True
37013,85000,0.2,24000,94200,118200,1632,1974,3,2,0,5,327.44,True,True,True
37013,118900,0.3,27000,72900,101500,1226,1980,3,2,0,5,327.44,True,True,True
37013,93500,0.39,19000,71100,90100,975,1964,3,1,0,5,327.44,True,True,True
37013,120000,0.44,25000,102800,127800,2155,1980,3,2,0,5,327.44,True,True,True
37013,137000,0.32,25000,99600,124600,1625,1996,3,3,0,5,327.44,True,True,True
37013,145000,0.28,25000,100400,125400,1784,1994,3,2,0,5,327.44,True,True,True
37013,145000,0.28,25000,100400,125400,1784,1994,3,2,0,5,327.44,True,True,True
37013,145900,0.36,22000,101900,123900,1658,1977,3,1,1,5,327.44,True,True,True
37013,61250,0.16,14000,56900,70900,1228,1984,2,1,1,5,327.44,True,True,True
37013,127500,0.41,20400,82300,102700,1771,1968,3,1,1,5,327.44,True,True,True
37013,135000,0.23,27500,105300,132800,1404,1985,3,3,0,5,327.44,True,True,True
37013,70000,0.23,20400,78100,98500,1222,1984,2,2,0,5,327.44,True,True,True
37013,98000,0.23,20400,90800,111200,1422,1985,3,2,0,5,327.44,True,True,True
37013,137000,0.28,20400,126900,147300,2018.5,1989,3,3,0,5,327.44,True,True,True
37013,129900,0.28,22500,91400,113900,1356.75,2001,3,2,0,5,327.44,True,True,True
37013,147800,0.19,27500,110300,137800,1838,1996,3,3,0,5,327.44,True,True,True
37013,136000,0.27,25000,84500,109500,1294,1996,3,2,0,5,327.44,True,True,True
37013,132000,0.27,24000,92800,124500,1733,1968,3,1,1,5,327.44,True,True,True
37013,146000,0.32,24000,92100,116100,1950,1972,3,2,0,5,327.44,True,True,True
37013,118000,0.21,17000,80400,97400,1785,1975,4,2,0,5,327.44,True,True,True
37013,55000,0.14,16000,59500,75500,960,1984,2,1,0,5,327.44,True,True,True
37013,88000,0.18,15500,69100,84600,1438.56,1979,2,1,0,5,327.44,True,True,True
37013,112000,0.21,15500,75000,90500,1404,1973,3,1,1,5,327.44,True,True,True
37013,149583,0.23,27500,103700,131200,2004.69,1987,3,2,0,5,327.44,True,True,True
37013,124900,0.25,20400,97900,118300,1980,1984,3,2,1,5,327.44,True,True,True
37013,99900,0.2,27500,66200,93700,1244,1982,2,2,0,5,327.44,True,True,True
37013,96000,0.23,27500,72400,99900,1192,1987,3,2,0,5,327.44,True,True,True
37013,168750,0.19,27500,125500,153000,2070,1999,3,3,0,5,327.44,True,True,True
37013,139900,0.34,27500,126000,153500,2100,1998,3,3,0,5,327.44,True,True,True
