,Park Name,Zip Codes,Acres,Community Center,Nature Center,Playground,ADA Accessible,Restrooms Available,Dog Park,Baseball Fields,Basketball Courts,Soccer Fields,Football & Multi-purpose Fields,Tennis Courts,Disc Golf,Swimming Pool,Golf Course,Walk & Jog Paths,Historic Features,Mapped Location,Lat,Lng
82,William Coleman Park,37211,8.77,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,"384 Thompson Ln Nashville, TN ",36.110867,-86.74434
83,William Whitfield Park,37211,13.67,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,"5150 Edmondson Pike Nashville, TN ",36.062137,-86.740079
84,Fannie Mae Dees Park,37212,7.65,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,"2400 Blakemore Ave Nashville, TN ",36.138131,-86.806112
85,Flora Wilson Community Park,37212,0.35,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,"Grand Ave at 14th Ave Nashville, TN 37212 ",36.1461984,-86.789001
86,St. Bernard Park,37212,1.71,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"2112 Bernard Ave Nashville, TN 37212 ",36.131428,-86.802791
87,Cumberland Park,37213,4.76,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"592 South 1st Street Nashville, TN ",36.163415,-86.768974
88,Heartland Park,37214,74.38,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"3101 Heartland Dr Nashville, TN ",36.187364,-86.668212
89,Lock Two Park,37214,5.73,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"2650 Lock 2 Rd Nashville, TN 37214 ",36.239203,-86.700735
90,Two Rivers Park,37214,374.3,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,"3150 McGavock Pike Nashville, TN ",36.184888,-86.676603
91,Green Hills Park,37215,13.03,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,"1200 Lone Oak Rd Nashville, TN ",36.094665,-86.801264
92,Sally Beaman,37215,1.53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"3701 Benham Avex Nashville, TN ",36.109283,-86.808739
93,Woodmont Park,37215,3.24,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,"912 Estes Rd Nashville, TN ",36.120132,-86.835851
94,Isaac Litton School Park,37216,5.7,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,"4500 Gallatin Pike Nashville, TN ",36.228269,-86.725196
95,South Inglewood Park,37216,19.14,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,"1624 Rebecca Ave Nashville, TN 37206 ",36.196642,-86.726943
96,Hamilton Creek Park,37217,381.36,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"2901 Bell Rd Nashville, TN ",36.096695,-86.624929
97,Metro Soccer Complex,37217,64.17,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"1266 Donelson Pike Nashville, TN ",36.100019,-86.676376
98,Seven Oaks Park,37217,76.01,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,"3474 McGavock Pike Nashville, TN ",36.110513,-86.70193
99,Una Recreation Park,37217,24.98,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,"134 Una Recreation Rd Nashville, TN ",36.097545,-86.640856
100,Bells Bend Park,37218,809.59,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"4187 Old Hickory Blvd Nashville, TN ",36.150289,-86.91876
101,Bordeaux Garden Park,37218,12.26,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,"Snell Blvd at Panorama Dr Nashville, TN ",36.1797136,-86.8395478
102,Joseph Brown Mullins Park,37218,34.85,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"4297 Drake Wood Lane Nashville, TN ",36.209117,-86.850825
103,Richard W. Hartman Park,37218,54.2,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,"2801 Tucker Rd Nashville, TN ",36.210169,-86.823735
104,Church Street Park,37219,0.28,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"600 Church St Nashville, TN ",36.162487,-86.781724
105,Bellevue Park,37221,17.14,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,"656 Colice Jeanne Rd Nashville, TN ",36.072144,-86.934617
106,Edwin Warner Park,37221,1113.12,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,"50 Vaughn Rd Nashville, TN ",36.050442,-86.902251
107,Harpeth Knoll Park,37221,9.88,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,"708 Goodpasture Terrace Nashville, TN ",36.058643,-86.937415
108,Harpeth River Park,37221,69.86,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"7820 Coley Davis Rd Nashville, TN ",36.078732,-86.960617
109,Percy Warner Park,37221,1991.56,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,"7311 Hwy100 Nashville, TN ",36.061346,-86.910062
110,Ted Rhodes Park,37228,261.17,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,"1901 Ed Temple Blvd Nashville, TN ",36.184191,-86.82383
111,Public Square Park,37243,6.01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"10 Public Square Nashville, TN ",6.166439,-86.778852
