,School Level,School Name,Zip Code,Rank,Great schools rating,Total Enrollment,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Students with Disabilities
52,Elementary School,Haywood Elementary,37211,4.0,Below Average,534,10%,13%,11%,66%,10%,10%,10%
53,Middle School,Head Middle,37203,6.0,Average,562,10%,6%,62%,5%,10%,26%,6%
54,Elementary School,Henry C Maxwell Elementary,37013,5.0,Average,598,10%,11%,21%,45%,10%,23%,10%
55,Elementary School,Hermitage Elementary,37076,4.0,Below Average,277,10%,10%,25%,26%,10%,47%,20%
56,Elementary School,Hickman Elementary,37214,3.0,Below Average,372,10%,5%,43%,22%,10%,31%,15%
57,High School,Hillsboro High,37215,4.0,Below Average,1199,10%,5%,52%,8%,10%,36%,14%
58,High School,Hillwood High,37205,3.0,Below Average,1031,10%,7%,36%,18%,10%,38%,16%
59,Elementary School,Hull-Jackson Elementary,37208,2.0,Below Average,375,10%,10%,87%,5%,10%,5%,11%
60,High School,Hume-Fogg High,37203,9.0,Above Average,899,10%,10%,22%,9%,10%,58%,5%
61,High School,Hunters Lane High,37207,2.0,Below Average,1312,10%,5%,43%,39%,10%,17%,13%
62,Elementary School,Ida B. Wells Elementary,37207,2.0,Below Average,231,10%,10%,91%,6%,10%,10%,13%
63,Elementary School,Inglewood Elementary,37216,2.0,Below Average,212,10%,10%,75%,10%,10%,20%,15%
64,Charter,Intrepid College Prep Charter,37013,6.0,Average,859,10%,10%,21%,69%,10%,9%,10%
65,Middle School,Isaac Litton Middle,37216,4.0,Below Average,406,10%,10%,37%,14%,10%,47%,17%
66,Elementary School,Ivanetta H. Davis Learning Center at Bordeaux,37218,,Unranked,112,10%,10%,73%,10%,10%,13%,47%
67,Elementary School,J.E. Moss Elementary,37013,4.0,Below Average,708,10%,7%,14%,71%,10%,8%,10%
68,Middle School,Jere Baxter Middle,37207,2.0,Below Average,524,10%,10%,57%,29%,10%,13%,17%
69,Elementary School,Joelton Elementary,37080,4.0,Below Average,194,10%,10%,21%,13%,10%,65%,19%
70,Elementary School,John B. Whitsitt Elementary,37210,5.0,Average,436,10%,10%,12%,72%,10%,14%,9%
71,Middle School,John Early Middle,37208,3.0,Below Average,285,10%,10%,85%,9%,10%,5%,24%
72,Middle School,John F. Kennedy Middle,37013,2.0,Below Average,805,10%,5%,39%,41%,10%,16%,10%
73,High School,John Overton High,37220,3.0,Below Average,1983,10%,8%,20%,44%,10%,28%,9%
74,Middle School,John Trotwood Moore Middle,37204,5.0,Average,658,10%,5%,32%,5%,10%,61%,15%
75,Non-Traditional - Hybrid,Johnson Alternative Learning Center,37210,,Unranked,46,10%,10%,70%,28%,10%,10%,41%
76,Elementary School,Jones Elementary,37208,1.0,Below Average,269,10%,10%,94%,10%,10%,10%,12%
77,Elementary School,Julia Green Elementary,37215,6.0,Average,364,10%,6%,5%,5%,10%,86%,10%
78,Charter,KA @ The Crossings MS,37013,4.0,Below Average,123,10%,10%,33%,50%,10%,15%,11%
79,Charter,KIPP Academy Nashville,37207,6.0,Average,385,10%,10%,52%,44%,10%,5%,14%
80,Charter,KIPP Academy Nashville Elementary,37206,5.0,Average,424,10%,10%,89%,7%,10%,5%,15%
81,Charter,KIPP Nashville College Prep,37207,6.0,Average,356,10%,10%,78%,19%,10%,10%,15%
82,Charter,KIPP Nashville College Prep Elementary,37207,,Unranked,433,10%,10%,85%,10%,10%,5%,11%
83,Charter,KIPP Nashville Collegiate High School,37207,5.0,Average,469,10%,10%,65%,30%,10%,5%,16%
84,Charter,Knowledge Academies High School,37013,2.0,Below Average,152,10%,10%,37%,43%,10%,17%,22%
85,Charter,Knowledge Academy,37013,4.0,Below Average,121,10%,10%,29%,47%,10%,23%,15%
86,Elementary School,Lakeview Elementary,37217,,Unranked,585,10%,5%,30%,47%,10%,19%,20%
87,Charter,LEAD Academy,37208,3.0,Below Average,470,10%,10%,37%,51%,10%,11%,13%
88,Charter,LEAD Cameron,37210,,Unranked,668,10%,10%,22%,71%,10%,7%,13%
89,Charter,LEAD Southeast,37211,6.0,Average,852,10%,7%,19%,48%,10%,27%,10%
90,Charter,Liberty Collegiate Academy,37216,5.0,Average,446,10%,10%,38%,54%,10%,8%,17%
91,Elementary School,Lockeland Elementary,37206,9.0,Above Average,285,10%,10%,6%,10%,10%,88%,11%
92,Middle School,Madison Middle,37115,3.0,Below Average,586,10%,10%,58%,30%,10%,11%,14%
93,High School,Maplewood High,37216,2.0,Below Average,710,10%,10%,69%,22%,10%,7%,20%
94,Middle School,Margaret Allen Middle,37210,3.0,Below Average,423,10%,10%,36%,47%,10%,14%,13%
95,High School,Martin Luther King Jr School,37203,9.0,Above Average,1251,10%,10%,37%,10%,10%,43%,5%
96,Elementary School,May Werthan Shayne Elementary School,37211,7.0,Above Average,740,10%,10%,28%,10%,10%,51%,9%
97,Elementary School,McGavock Elementary,37214,4.0,Below Average,227,10%,5%,26%,44%,10%,25%,11%
98,High School,McGavock High,37214,3.0,Below Average,2087,10%,5%,41%,21%,10%,35%,13%
99,Middle School,McMurray Middle,37211,4.0,Below Average,748,10%,9%,14%,68%,10%,8%,11%
100,Middle School,Meigs Middle,37206,8.0,Above Average,681,10%,10%,26%,8%,10%,56%,5%
101,Non-Traditional,Metro Nashville Virtual School,37209,,Unranked,259,10%,8%,29%,10%,10%,52%,6%
102,High School,Middle College High,37209,,Unranked,156,10%,10%,48%,12%,10%,34%,10%
103,Middle School,Moses McKissack Middle,37209,2.0,Below Average,265,10%,10%,89%,8%,10%,10%,28%
104,Elementary School,Mt. View Elementary,37013,5.0,Average,712,10%,5%,32%,34%,10%,29%,9%
105,Special Education,Murrell School,37210,,Unranked,42,10%,10%,62%,10%,10%,26%,95%
106,Elementary School,Napier Elementary,37210,4.0,Below Average,271,10%,10%,91%,5%,10%,10%,18%
107,Non-Traditional,Nashville Big Picture High School,37209,5.0,Average,154,10%,10%,75%,8%,10%,17%,19%
108,Charter,Nashville Classical,37206,7.0,Above Average,500,10%,10%,65%,9%,10%,25%,13%
109,Charter,Nashville Prep,37209,5.0,Average,328,10%,10%,53%,38%,10%,7%,17%
110,High School,Nashville School Of The Arts,37210,7.0,Above Average,578,10%,5%,39%,9%,10%,49%,9%
111,Charter,Neelys Bend College Prep,37115,4.0,Below Average,487,10%,10%,43%,44%,10%,13%,14%
112,Elementary School,Neelys Bend Elementary,37115,4.0,Below Average,269,10%,10%,34%,49%,10%,17%,14%
113,Elementary School,Norman Binkley Elementary,37211,6.0,Average,572,10%,7%,12%,54%,10%,26%,12%
114,Elementary School,Old Center Elementary,37072,6.0,Average,310,10%,10%,46%,36%,10%,16%,15%
115,Elementary School,Paragon Mills Elementary,37211,4.0,Below Average,563,10%,9%,25%,53%,10%,13%,12%
116,Elementary School,Park Avenue Elementary,37209,5.0,Average,304,10%,10%,84%,6%,10%,8%,22%
117,High School,Pearl-Cohn High,37208,2.0,Below Average,632,10%,10%,94%,5%,10%,10%,21%
118,Elementary School,Pennington Elementary,37214,7.0,Above Average,260,10%,10%,22%,26%,10%,49%,10%
119,Elementary School,Percy Priest Elementary,37215,8.0,Above Average,393,10%,7%,5%,5%,10%,82%,6%
120,Charter,Purpose Prep,37228,6.0,Average,388,10%,10%,88%,5%,10%,9%,8%
121,Charter,RePublic High School,37207,3.0,Below Average,611,10%,10%,52%,40%,10%,7%,18%
122,Elementary School,Robert Churchwell Elementary,37208,4.0,Below Average,265,10%,10%,92%,6%,10%,10%,15%
123,GATE Center,Robertson Academy Gifted School,37220,,Unranked,44,10%,10%,10%,10%,10%,86%,10%
124,Charter,Rocketship Nashville Northeast Elementary,37207,6.0,Average,473,10%,10%,72%,25%,10%,5%,15%
125,Charter,Rocketship United,37217,6.0,Average,550,10%,10%,46%,45%,10%,8%,10%
126,Middle School,Rose Park Middle,37203,5.0,Average,446,10%,5%,64%,8%,10%,25%,7%
127,Elementary School,Rosebank Elementary,37206,4.0,Below Average,286,10%,10%,52%,9%,10%,36%,15%
128,Elementary School,Ross Early Learning Center,37206,,Unranked,165,10%,10%,56%,13%,10%,28%,33%
129,Elementary School,Ruby Major Elementary,37076,6.0,Average,427,10%,5%,49%,15%,10%,30%,12%
130,Elementary School,Shwab Elementary,37207,6.0,Average,294,10%,10%,30%,57%,10%,13%,18%
131,Elementary School,Smith Springs Elementary School,37013,6.0,Average,666,10%,5%,39%,34%,10%,24%,11%
132,Charter,Smithson Craighead Academy,37115,5.0,Average,214,10%,10%,46%,46%,10%,7%,18%
133,Elementary School,Stanford Elementary,37214,7.0,Above Average,370,10%,5%,32%,9%,10%,54%,11%
134,Charter,STEM Prep Academy,37210,7.0,Above Average,515,10%,10%,17%,55%,10%,26%,8%
135,Charter,STEM Prep High School,37210,5.0,Average,501,10%,5%,20%,55%,10%,22%,8%
136,High School,Stratford STEM Magnet School,37216,2.0,Below Average,907,10%,5%,70%,12%,10%,15%,19%
137,Elementary School,Stratton Elementary,37115,4.0,Below Average,454,10%,10%,39%,46%,10%,14%,12%
138,Charter,Strive Collegiate Academy,37214,3.0,Below Average,342,10%,10%,46%,30%,10%,21%,12%
139,Elementary School,Sylvan Park Elementary,37209,7.0,Above Average,374,10%,5%,29%,5%,10%,63%,17%
140,Non-Traditional,The Academy at Hickory Hollow,37013,,Unranked,95,10%,10%,27%,33%,10%,38%,10%
141,Non-Traditional,The Academy at Old Cockrill,37209,,Unranked,66,10%,10%,67%,10%,10%,17%,10%
142,Non-Traditional,The Academy at Opry Mills,37214,,Unranked,48,10%,10%,44%,21%,10%,31%,10%
143,Elementary School,Thomas A. Edison Elementary,37013,5.0,Average,643,10%,5%,39%,30%,10%,29%,10%
