,School Year,School Level,School ID,School Name,State School ID,Zip Code,Rank,Great schools rating,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf
53,20-21,Middle School,410,Head Middle,315,37203,6.0,Average,562,,,,,,,,32%,31%,16%,20%,,,,,10%,6%,62%,5%,10%,26%,50%,50%,32%,6%,6%,06/01/2021
54,20-21,Elementary School,552,Henry C Maxwell Elementary,318,37013,5.0,Average,598,< 10,7%,17%,19%,18%,17%,21%,,,,,,,,,10%,11%,21%,45%,10%,23%,53%,47%,39%,10%,47%,06/01/2021
55,20-21,Elementary School,415,Hermitage Elementary,320,37076,4.0,Below Average,277,< 10,8%,15%,20%,22%,14%,20%,,,,,,,,,10%,10%,25%,26%,10%,47%,55%,45%,36%,20%,19%,06/01/2021
56,20-21,Elementary School,420,Hickman Elementary,327,37214,3.0,Below Average,372,< 10,6%,12%,17%,18%,23%,22%,,,,,,,,,10%,5%,43%,22%,10%,31%,52%,48%,43%,15%,20%,06/01/2021
57,20-21,High School,435,Hillsboro High,335,37215,4.0,Below Average,1199,,,,,,,,,,,,29%,25%,25%,21%,10%,5%,52%,8%,10%,36%,52%,48%,29%,14%,5%,06/01/2021
58,20-21,High School,440,Hillwood High,340,37205,3.0,Below Average,1031,,,,,,,,,,< 10,,27%,29%,23%,21%,10%,7%,36%,18%,10%,38%,54%,46%,36%,16%,15%,06/01/2021
59,20-21,Elementary School,451,Hull-Jackson Elementary,350,37208,2.0,Below Average,375,19%,17%,13%,16%,13%,13%,8%,,,,,,,,,10%,10%,87%,5%,10%,5%,49%,51%,53%,11%,10%,06/01/2021
60,20-21,High School,450,Hume-Fogg High,355,37203,9.0,Above Average,899,,,,,,,,,,,,26%,25%,24%,25%,10%,10%,22%,9%,10%,58%,39%,61%,9%,5%,10%,06/01/2021
61,20-21,High School,452,Hunters Lane High,358,37207,2.0,Below Average,1312,,,,,,,,,,,,28%,29%,25%,17%,10%,5%,43%,39%,10%,17%,55%,45%,46%,13%,24%,06/01/2021
62,20-21,Elementary School,175,Ida B. Wells Elementary,80,37207,2.0,Below Average,231,< 10,< 10,18%,20%,17%,19%,22%,,,,,,,,,10%,10%,91%,6%,10%,10%,53%,47%,83%,13%,7%,06/01/2021
